Note,abstract_deadline,data,date,deadline,end,full_name,hindex,id,link,note,paperslink,place,pwclink,start,sub,timezone,title,year
,2024-10-03 23:59:59,,"May 03-05, 2025",2024-10-10 23:59:59,2025-05-05,,100,aistats25,https://aistats.org/aistats2025/index.html,"Abstract deadline on October 3, 2024. More info <a href='https://aistats.org/aistats2025/call-for-papers.html'>here</a>",,"Phuket, Thailand",,2025-05-03,ML,UTC-12,AISTATS,2025
,2024-11-08 06:59:59,,"June 10-17, 2025",2024-11-15 06:59:59,2025-06-17,,389,cvpr25,https://cvpr.thecvf.com/Conferences/2025,"Mandatory paper registration deadline on November 07, 2023. More info <a href='https://cvpr.thecvf.com/Conferences/2025'>here</a>.",,"Nashville, Tennessee, USA",,2025-06-10,CV,GMT,CVPR,2025
,,,"April 29 - May 4, 2024",2024-10-15 23:59:59,2025-05-04,,132,naacl25,https://2025.naacl.org,All submissions must be done through ARR. More info <a href='https://2025.naacl.org/calls/papers/'>here</a>.,,"Albuquerque, New Mexico, USA",,2025-04-29,NLP,UTC-12,NAACL,2025
,2024-09-27 23:59:59,,"Apr 24-28, 2025",2024-10-01 23:59:59,2025-04-28,,304,iclr25,https://iclr.cc/Conferences/2025/CallForPapers,"Mandatory abstract deadline on September 27, 2024. More info <a href='https://iclr.cc/Conferences/2025/CallForPapers'>here</a>.",,Singapore,,2025-04-24,ML | AP | RO | CV | NLP | SP,UTC-12,ICLR,2025
,2024-09-04 23:59,,"November 26 - November 29, 2024",2024-09-11 23:59,2024-11-29,Learning on Graphs Conference,,log24,https://logconference.org,"Abstract deadline on Sep 04, 2024. More info <a href='https://logconference.org'>here</a>.",,"Virtual, free to attend",,2024-11-26,ML | DM | KR,UTC-12,LoG,2024
,2024-10-02 23:59:59,,"April 6 - April 10, 2025",2024-10-09 23:59:59,2025-04-10,European Conference on Information Retrieval,,ecir25,https://ecir2025.eu/,"Abstract deadline on Oct 2, 2024. More info <a href='https://ecir2025.eu/'>here</a>.",,"Lucca, Tuscany, Italy",,2025-04-06,DM,UTC-12,ECIR,2025
,,,"Feb 28 – Mar 4, 2025",2024-09-09 23:59:59,2025-3-4,IEEE/CVF Winter Conference on Applications of Computer Vision,109,wacv25_2,https://wacv2025.thecvf.com/,"This is the second round of submissions. Summplementary material deadline on Sep 11, 2024. More info <a href='https://wacv2025.thecvf.com/'>here</a>.",,"Tucson, Arizona",,2025-2-28,ML | CV,UTC-7,WACV,2025
,2024-10-09 23:59:59,,"May 19 - May 23, 2025",2024-10-16 23:59:59,2025-05-23,,,aamas25,https://aamas2025.org/,"Mandatory abstract deadline on Oct 09, 2024. More info <a href='https://aamas2025.org/'>here</a>.",,"Detroit, Michigan, USA",,2025-05-19,KR | ML | RO | AP,UTC-12,AAMAS,2025
,2024-09-05 23:59:59,,"April 26 - May 01, 2025",2024-09-12 23:59:59,2025-05-01,The ACM Conference on Human Factors in Computing Systems,122,chi25,https://chi2025.acm.org/,"Mandatory abstract deadline on Sep 05, 2024. More info <a href='https://chi2025.acm.org/for-authors/papers/'>here</a>.",,"Yokohama, Japan",,2025-04-26,HCI,UTC-12,CHI,2025
,,,"January 19-24, 2025",2024-09-16 23:59:59,2025-01-24,The 31st International Conference on Computational Linguistics,73,coling25,https://coling2025.org/,"More info can be found <a href=""https://coling2025.org/calls/main_conference_papers/#important-dates"">here</a>.",,"Abu Dhabi, UAE",,2025-01-19,NLP,UTC-12,COLING,2025
,,,"March 10-14, 2025",2024-08-14 23:59:00,2025-03-14,ACM International Conference on Web Search and Data Mining,,wsdm25,https://www.wsdm-conference.org/2025/,"Abstract deadline on August 7, 2024",,"Hannover, Germany",,2025-03-10,DM,UTC-12,WSDM,2025
,,,"November 13-15, 2024",2024-06-09 23:59:59,2024-11-15,18th Ibero-American Conference on Artificial Intelligence,14,iberamia24,https://www.iberamia.org/iberamia/iberamia2024/,,,"Montevideo, Uruguay",,2024-11-13,ML | NLP | CV,UTC-12,Iberamia,2024
,2024-05-29 19:59:59,,"December 9 - December 15, 2024",2024-06-05 19:59:59,2024-12-15,Conference on Neural Information Processing Systems - Dataset and Benchmarks Track,309,neurips24DBT,https://nips.cc/Conferences/2024/CallForDatasetsBenchmarks,"Mandatory abstract deadline on May 29, 2024, and supplementary material deadline on June 12, 2024. More info <a href='https://nips.cc/Conferences/2024/CallForDatasetsBenchmarks'>here</a>.",,"Vancouver, Canada",,2024-12-09,DM | ML | NLP | SP | CV,UTC,NeurIPS [Dataset and Benchmarks Track],2024
,,,"May 19 - May 23, 2025",2024-09-15 23:59:59,2025-05-23,,119,icra25,https://2025.ieee-icra.org,,,"Atlanta, USA",,2025-05-19,RO,America/Los_Angeles,ICRA,2025
,,,"Feb 28 – Mar 4, 2025",2024-07-14 23:59:59,2025-3-4,IEEE/CVF Winter Conference on Applications of Computer Vision,,wacv25,https://wacv2025.thecvf.com/,,,"Tucson, Arizona",,2025-2-28,ML | CV,America/Los_Angeles,WACV,2025
,2024-08-07 23:59:59,,"February 25 - March 04, 2025",2024-08-15 23:59:59,2025-03-04,AAAI Conference on Artificial Intelligence,212,aaai25,https://aaai.org/conference/aaai/aaai-25/,"Mandatory abstract deadline on Aug 07, 2024, and supplementary material deadline on Aug 19, 2024. More info <a href='https://aaai.org/conference/aaai/aaai-25/'>here</a>.",,"Philadelphia, USA",,2025-02-25,DM | KR | ML | RO | NLP | SP | CV | CG | HCI | AP,UTC-12,AAAI,2025
,2024-04-26 23:59:59,,"November 25 - November 28, 2024",2024-05-10 23:59:59,2024-11-28,The British Machine Vision Conference,,bmvc24,https://bmvc2024.org/,"Mandatory abstract deadline on April 26, 2024",,"Glasgow, UK",,2024-11-25,ML,GMT,BMVC,2024
,,,"April 6-11, 2025",2024-09-09 23:59:59,2025-04-11,,,icassp25,https://2025.ieeeicassp.org/,,,"Hyderabad, India",,2025-04-6,SP,UTC-12,ICASSP,2025
More info <a href='https://kil-workshop.github.io/'>here</a>,,,"August 25, 2024",2024-05-25 23:59:59,2024-08-25,KDD Workshop on Knowledge-infused Learning,,kil24,https://kil-workshop.github.io/,,,"Barcelona, Spain",,2024-08-20,NLP | ML | DM,UTC-12,KIL,2024
,2024-04-05 23:59:59,,"November 10-14, 2024",2024-04-12 23:59:59,2024-11-14,,43,ismir24,https://ismir2024.ismir.net/,"Mandatory abstract deadline on April 5th, 2024. More info <a href='https://ismir2024.ismir.net/authors/call-for-papers/'>here</a>.",,"San Francisco, California, USA",,2024-11-10,SP,UTC-12,ISMIR,2024
,,,"September 17-19, 2024",2024-05-19 23:59:59,2024-09-19,1st ESA Conference on AI in and for Space,,spaice24,https://spaice.esa.int/,Best papers will be selected for special issues on AI and space in IAA Acta Astronautica and Springer Astrodynamics. More info <a href='https://spaice.esa.int/call-for-papers/'>here</a>.,,"ECSAT, Harwell, United Kingdom",,2024-09-17,ML,UTC+2,SPAICE,2024
,,,"November 12-16, 2024",2024-06-15 23:59:00,2024-11-16,,,emnlp24,https://2024.emnlp.org/,More info <a href='https://2024.emnlp.org/calls/main_conference_papers/'>here</a>.,,"Miami, Florida, USA",,2024-11-12,NLP,UTC-12,EMNLP,2024
,2024-05-13 23:59:59,"October 21 - October 25, 2024",,2024-05-20 23:59:59,2024-10-25,,,CIKM24,https://cikm2024.org/,"Mandatory abstract deadline on May 13, 2024. More info <a href='https://cikm2024.org/call-for-papers/'>here</a>.",,"Boise, Idaho, USA",,2024-10-21,DM | KR,UTC-12,CIKM,2024
,,,"December, 3-6, 2024",2024-05-19 23:59,,SIGGRAPH ASIA 2024,,siggraphasia24,https://asia.siggraph.org/2024/,,,"Tokyo, Japan",,,CG,UTC-12,SIGGRAPH Asia,2024
,2024-05-15 19:59:59,,"December 9 - December 15, 2024",2024-05-22 19:59:59,2024-12-15,Conference on Neural Information Processing Systems,309,neurips24,https://nips.cc/Conferences/2024,"Mandatory abstract deadline on May 15, 2024",https://proceedings.neurips.cc/,"Vancouver, Canada",https://paperswithcode.com/conference/neurips-2024-12,2024-12-09,ML,UTC,NeurIPS,2024
,,,"September 9-13, 2024",2024-07-22 23:59:59,2024-09-13,,45,ecmlpkdd2024,https://2024.ecmlpkdd.org/,,https://ecmlpkdd.org/2024/program-at-a-glance/,Vilnius (Lithuania),,2024-09-09,ML,UTC-12,ECML PKDD,2024
,,,"July 21, 2024",2024-03-29 23:59:00,2024-07-21,Advances in Approximate Bayesian Inference,,aabi24,http://approximateinference.org/,"Co-located with ICML 2024. Submission deadlines are March 29 (proceedings and workshop track) and May 10 (fast track). More info <a href=""http://approximateinference.org/call/index.html"">here</a>",,"Vienna, Austria",,2024-07-21,ML,UTC-12,AABI,2024
,,,"November 06-09, 2024",2024-06-06 23:59:00,2024-11-09,,,corl24,https://corl.org,,,"Munich, Germany",,2024-11-06,RO,UTC-12,CoRL,2024
,2024-04-12 23:59:59,,"October 28 - November 1, 2024",2024-04-08 23:59:59,2024-11-01,,,mm24,https://2024.acmmm.org/,"Mandatory abstract deadline on April 8, 2024. More info <a href='https://2024.acmmm.org/regular-papers'>here</a>.",,"Melbourne, Australia",,2024-10-28,CV,UTC-12,MM,2024
,,,"August 11-16, 2024",2024-02-15 23:59:00,2024-08-16,,192,acl24,https://2024.aclweb.org/,"All submissions should be done through ARR. More info <a href=""https://www.aclweb.org/portal/sites/default/files/Submission%20Dates%20and%20Process%20for%20EACL_NAACL%20and%20ACL%202024-2.pdf"">here</a>.",,"Bangkok, Thailand",,2024-08-11,NLP,UTC-12,ACL,2024
,,,"October 14-18, 2024",2024-03-01 23:59:59,2024-10-18,,80,iros24,https://iros2024-abudhabi.org/,,,"Abu Dhabi, UAE",,2024-10-14,RO,America/Los_Angeles,IROS,2024
,2024-04-24 23:59:59,,"Nov 02-08, 2024",2024-05-01 23:59:59,2024-11-08,,-1,kr24,https://kr.org/KR2024/,"Mandatory abstract deadline on April 24, 2024. More info <a href='https://kr.org/KR2024/'>here</a>.",,"Hanoi, Vietnam",,2024-11-02,KR,UTC-12,KR,2024
,,,"March, 25-27, 2024",2024-01-26 23:59:59,2024-03-27,AAAI 2024 Spring Symposium on Clinical Foundation Models,,aaaisss24cfm,https://clinicalfoundationmodels.github.io/,More info <a href='https://clinicalfoundationmodels.github.io/'>here</a>.,,"Stanford, USA",,2024-03-25,ML,UTC-12,AAAI 2024 Spring Symposium on Clinical Foundation Models,2024
,,,"March 25-27, 2024",2023-12-22 23:59:59,2024-03-27,,-1,aia24,https://aair-lab.github.io/aia2024/,,,"Stanford, USA",,2024-03-25,ML,UTC-12,AAAI 2024 Spring Symposium on User-Aligned Assessment of Adaptive AI Systems,2024
,2024-01-23 22:00:00,,"July 28 - August 1, 2024",2024-01-24 22:00:00,2024-08-01,,,siggraph24,https://s2024.siggraph.org/,"Mandatory abstract deadline on Jan 23, 2024. More info <a href='https://s2024.siggraph.org/program/technical-papers/'>here</a>.",,"Denver, USA",,2024-07-28,CG,GMT,SIGGRAPH,2024
,,,"July 15-19, 2024",2024-02-09 23:59:59,2024-07-19,,,uai24,https://www.auai.org/uai2024/,,,"Barcelona, Spain",,2024-07-15,ML,UTC-12,UAI,2024
,2024-02-09 23:59:59,,"July 29 - August 01, 2024",2024-02-15 23:59:59,2024-08-01,,,collas24,https://lifelong-ml.cc,,,"Pisa, Italy",,2024-07-29,ML,UTC-12,CoLLAs,2024
